The product status will be 'Disabled' until it is approved from admin.,The product status will be 'Disabled' until it is approved from admin.
The seller has already added more products. Please either increase the limit or save it as it is.,The seller has already added more products. Please either increase the limit or save it as it is.
Reason,Reason
Required field,Required field
Submit,Submit
Why do you want to do this?,Why do you want to do this?
Continue,Continue
Something went wrong. Please try again.,Something went wrong. Please try again.
Vacation Interval: ,Vacation Interval: 
Is Active: ,Is Active: 
Vacation Halt Status: ,Vacation Halt Status: 
Comment: ,Comment: 
Reason for canceling vacation: ,Reason for canceling vacation: 
Vacation Detail,Vacation Detail
Your comment to cancel this vacation,Your comment to cancel this vacation
Register as Seller,Register as Seller
Yes,Yes
No,No
Marketplace CRON Instructions,Marketplace CRON Instructions
Vacation CRON,Vacation CRON
Disable the products during the seller's vacation period.,Disable the products during the seller's vacation period.
Low Stock Notification CRON,Low Stock Notification CRON
Send the notification to the sellers about their low stock products.,Send the notification to the sellers about their low stock products.
Cron Instructions,Cron Instructions
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.
URLs to Add to Cron via Control Panel,URLs to Add to Cron via Control Panel
1. Vacation CRON,1. Vacation CRON
2. Low Stock Notification CRON,2. Low Stock Notification CRON
Cron setup via SSH,Cron setup via SSH
Choose Store Categories,Choose Store Categories
Collapse All,Collapse All
Expand All,Expand All
This operation can take a long time,This operation can take a long time
Please confirm site switching. All data that hasn\'t been saved will be lost.,Please confirm site switching. All data that hasn\'t been saved will be lost.
Warning message,Warning message
Field cannot be empty.,Field cannot be empty.
You can enter only numbers.,You can enter only numbers.
Number should be greater than 0.,Number should be greater than 0.
Field cannot be greater than {#} characters.,Field cannot be greater than {#} characters.
Field cannot be less than {#} character(s).,Field cannot be less than {#} character(s).
Please enter Email.,Please enter Email.
Please enter a valid Email.,Please enter a valid Email.
Invalid date format.,Invalid date format.
Number is not in the valid range. It should be between {#} and {##},Number is not in the valid range. It should be between {#} and {##}
Field should be numeric.,Field should be numeric.
Field should be positive.,Field should be positive.
Field can have only upto two decimal values.,Field can have only upto two decimal values.
Email cannot be greater than {#} characters.,Email cannot be greater than {#} characters.
Zip should not have special characters.,Zip should not have special characters.
Percentage should be in number.,Percentage should be in number.
Percentage should be between 0 and 100.,Percentage should be between 0 and 100.
Size cannot be greater than {#} characters.,Size cannot be greater than {#} characters.
Color could not be greater than {#} characters.,Color could not be greater than {#} characters.
Color is not valid.,Color is not valid.
Special characters are not allowed.,Special characters are not allowed.
Script tags are not allowed.,Script tags are not allowed.
Style tags are not allowed.,Style tags are not allowed.
Iframe tags are not allowed.,Iframe tags are not allowed.
Uploaded file is not an image.,Uploaded file is not an image.
Uploaded file size must be less than {#}.,Uploaded file size must be less than {#}.
Field should not contain HTML tags.,Field should not contain HTML tags.
You can enter only positive numbers.,You can enter only positive numbers.
Are you sure?,Are you sure?
Comment,Comment
Are you sure to update feature status of this seller?,Are you sure to update feature status of this seller?
Do you have any comment?,Do you have any comment?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone."
To refresh last day's,To refresh last day's
statistics,statistics
click,click
here,here
Filter,Filter
Period,Period
Day,Day
Month,Month
Year,Year
From,From
Select Date,Select Date
To,To
Choose Category,Choose Category
All Categories,All Categories
Choose a Seller,Choose a Seller
All Sellers,All Sellers
NA,NA
PayPal Payout Settings,PayPal Payout Settings
Active,Active
Enable or Disable Paypal Payment Method.,Enable or Disable Paypal Payment Method.
Client ID,Client ID
Client Secret,Client Secret
Paypal Mode,Paypal Mode
Sandbox,Sandbox
Live,Live
Paypal Email Subject,Paypal Email Subject
Paypal Currency ,Paypal Currency 
